Ficha,Precio,Pista,Preu,Pista-ca,Precio alternativo
1,Una flor,El examen de ANÀLISIS DE DADES es el DÍA 20 y es a la HORA más tardía,Una flor,L'examen de ANÀLISIS DE DADES és el DIA 20 i és a l'HORA més tardana,
2,Un lápiz/rotulador/bolígrafo verde ,El examen de PSICOMETRÍA se hace el día antes del examen de la profesora TOUS,Un llapis/retolador/bolígraf verd ,L'examen de PSICOMETRIA es fa el dia abans de l'examen de la professora TOUS,
3,Una cuerda con 10 nudos,El examen de la profesora SOLER es el día 7,Una corda amb 10 nusos,L'examen de la professora SOLER és el dia 7,
4,Un caramelo o bombón,El primer examen no es a las 17 HORAS,Un caramel o bombó,El primer examen no és a les 17 HORES,Un abrazo
5,La ficha debe pedirla alguien que no sea de esta asignatura,PSICOMETRIA es impartida por el profesor DOMÈNECH,La fitxa ha de demanar-la algú que no sigui d'aquesta assignatura,PSICOMETRIA és impartida pel professor DOMÈNECH,Haz un puzle
6,Recitar la tabla del 8 en orden inverso,El examen del día 18 se hace a las 11 HORAS,Recitar la taula del 8 en ordre invers,L'examen del dia 18 es fa a les 11 HORES,
7,Una goma de borrar,El examen de PSICOLOGIA EVOLUTIVA es a las 8 HORAS,Una goma d'esborrar,L'examen de PSICOLOGIA EVOLUTIVA és a les 8 HORES,
8,Un mechero,El profesor SASTRE no hace PSICOLOGIA EVOLUTIVA,Un encenedor,El professor SASTRE no fa PSICOLOGIA EVOLUTIVA,
9,Mostrar diez monedas de 2 céntimos,El segundo examen es de la asignatura de la profesora MORAGAS a las 15 HORAS,Mostrar deu monedes de 2 cèntims,El segon examen és de l'assignatura de la professora MORAGAS a les 15 HORES,
10,Copia de una pintada en la facultad,La profesora TOUS imparte ANÀLISIS DE DADES,Còpia d'una pintada en la facultat,La professora TOUS imparteix ANÀLISIS DE DADES,
11,Recitar una poesía ,El examen de la profesora PARERA es el DÍA 15,Recitar una poesia ,L'examen de la professora PARERA és el DIA 15,
12,Fotografía de 2 del grupo + 3 que no sean de la asignatura,El cuarto examen es el de FONAMENTS DE PSICOBIOLOGIA,Fotografia de 2 del grup + 3 que no siguin de l'assignatura,El quart examen és el de FONAMENTS DE PSICOBIOLOGIA,Una galleta
13,Una goma elástica,HISTORIA DE LA PSICOLOGIA no es la asignatura impartida por la profesora SOLER,Una goma elàstica,HISTÒRIA DE LA PSICOLOGIA no és l'assignatura impartida per la professora SOLER,
14,Un barquito de papel ,El examen del profesor DOMÈNECH se hace en séptimo lugar,Un vaixell de paper ,L'examen del professor DOMÈNECH es fa en setè lloc,
15,Una caricatura del/de la docente,El primer examen es también el que se hace a una hora más temprana,Una caricatura del/de la docent,El primer examen és també el que es fa a una hora més primerenca,
16,Una coreografía con dos personas ,La profesora MORAGAS hace el examen el día anterior al de ATENCIÓ I PERCEPCIÓ,Una coreografia amb dues persones ,La professora MORAGAS fa l'examen el dia anterior al de ATENCIÓ I PERCEPCIÓ,
17,Una foto de la Gestión Académica de letras tomada con un móvil ,El día siguiente al examen de las 15 hay un examen a las 10 HORAS,Una foto de la Gestió Acadèmica de lletres presa amb un mòbil ,L'endemà de l'examen de les 15 hi ha un examen a les 10 HORES,
18,Una chincheta,ATENCIÓ I PERCEPCIÓ es impartida por el profesor CARDONA. El examen es el DÍA 5,Una xinxeta,ATENCIÓ I PERCEPCIÓ és impartida pel professor CARDONA. L'examen és el DIA 5,
19,Mannekin Challenge del grupo,El examen de DIMENSIÓ SOCIAL DE LA PERSONA se hace en quinto lugar,Mannekin Challenge del grup,L'examen de DIMENSIÓ SOCIAL DE LA PERSONA es fa en cinquè lloc,
20,Una hoja seca,El primer examen se hace el DÍA 1,Una fulla seca,El primer examen es fa el DIA 1,
21,Contar un chiste ,El primer examen es de la asignatura del profesor CODINA,Contar un acudit ,El primer examen és de l'assignatura del professor CODINA,Resuelve un enigma
22,Una piedra pequeña ,El examen de HISTORIA DE LA PSICOLOGIA no es el DÍA 10,Una pedra petita ,L'examen d'HISTÒRIA DE LA PSICOLOGIA no és el DIA 10,
23,* Hacer un puzle,El cuarto examen se hace a las 12 HORAS,* Fer un puzle,El quart examen es fa a les 12 HORES,
24,* Prueba de habilidad,El examen de MOTIVACIÓ I EMOCIÓ es el DÍA 3,* Prova d'habilitat,L'examen de MOTIVACIÓ I EMOCIÓ és el DIA 3,
25,* Resolver un enigma,El examen del día 15 no es a las 9 HORAS,* Resoldre un enigma,L'examen del dia 15 no és a les 9 HORES,
26,* Resolver un sudoku,El examen de HISTORIA DE LA PSICOLOGIA se hace en sexto lugar,* Resoldre un sudoku,L'examen d'HISTÒRIA DE LA PSICOLOGIA es fa en sisè lloc,Una fruta
27,Una botella de refresco,El examen del DÍA 18 no es a las 16h.,Una ampolla de refresc,L'examen del DIA 18 no és a les 16h.,
28,Una “tirita”,,Una “tireta”,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
50,Respuestas de “El árbol genealógico”,,,,
60,Respuestas de “Obelisco”,,,,
70,Respuestas de “Lógica: exámenes”,,,,
80,Respuestas de “Miips y Wors”,,,,
